Bacteria	ko_id	count
Bacteroides cellulosyliticus	K03088	0.009041416444725711
Clostridium aminophilim	K00016	0.009040828214186784
Megasphera elasdenii	K01265	0.009023405088635104
Clostridium aminophilim	K06921	0.009004054618426589
Acidaminococcus fermentans	K01615	0.008985068323498106
Acidaminococcus fermentans	K01712	0.008970853363611142
Clostridium cadaveris	K01207	0.008966347682054347
Agathobacter ruminis	K18888	0.008927661833448848
Mix cultures	K02355	0.008923413579862314
Megasphera elasdenii	K00134	0.008918416535374084
Butyrivibrio proteoclasticus	K02770	0.008898692221953212
Clostridium aminophilim	K06997	0.008882759834313046
Bacteroides uniformis	K04047	0.008847536054372718
Prevotella ruminicola	K03695	0.008846417187494222
Bacteroides uniformis	K07085	0.008833064132405217
Bacteroides cellulosyliticus	K17686	0.0088168736982363
Prevotella ruminicola	K03088	0.008765454813377552
Megasphera elasdenii	K02926	0.00875852662235023
Mix cultures	K05919	0.008749045330873746
Bacteroides uniformis	K03340	0.008737227664563795
Megasphera elasdenii	K02946	0.00870989664873745
Clostridium aminophilim	K02396	0.008705289193778002
Fusobacterium necrophorum	K02986	0.00866714659600054
Bacteroides uniformis	K03671	0.008569926060643515
Bacteroides uniformis	K04079	0.008513744130811959
Fusobacterium necrophorum	K02879	0.008463846614674454
Bacteroides uniformis	K00615	0.008445618416810852
Clostridium aminophilim	K01652	0.008419784025337567
Fusobacterium necrophorum	K03521	0.008405273415470196
Clostridium cadaveris	K06200	0.008367376920480759
Fusobacterium necrophorum	K00384	0.008358530203586559
Clostridium cadaveris	K02033	0.008355102383949802
Clostridium aminophilim	K02406	0.008299573364194866
Bacteroides cellulosyliticus	K00024	0.00827198510558874
Fusobacterium necrophorum	K21636	0.00820957784151299
Clostridium cadaveris	K01006	0.008203008342739012
Bacteroides uniformis	K06911	0.008193092863172328
Bacteroides uniformis	K11065	0.008173035853297424
Clostridium cadaveris	K03076	0.008156032637376546
Bacteroides cellulosyliticus	K03696	0.008134641080014441
Agathobacter ruminis	K10547	0.00811565651298487
Bacteroides cellulosyliticus	K01676	0.008114517152823509
Prevotella ruminicola	K03043	0.007995715945486766
Acidaminococcus fermentans	K25634	0.00797667070709583
Clostridium cadaveris	K06398	0.00794881150512338
Bacteroides uniformis	K21573	0.007913512041690114
Agathobacter ruminis	K01534	0.007889721475616344
Bacteroides cellulosyliticus	K01534	0.00781456618433097
Bacteroides cellulosyliticus	K03832	0.007813292098567706
Prevotella ruminicola	K06076	0.007757139319906858
Fusobacterium necrophorum	K03315	0.0077474138550467945
Acidaminococcus fermentans	K01745	0.007732688793246501
Prevotella ruminicola	K02355	0.007720372315836198
Agathobacter ruminis	K02358	0.007694653044270235
Bacteroides cellulosyliticus	K19693	0.007661652584524492
Megasphera elasdenii	K01784	0.0076610688376788985
Clostridium aminophilim	K03076	0.007654571771893436
Clostridium cadaveris	K02034	0.007606017954185772
Agathobacter ruminis	K18346	0.007575160235023565
Bacteroides cellulosyliticus	K00459	0.00756994011425067
Fusobacterium necrophorum	K07277	0.00756890783870448
Megasphera elasdenii	K07497	0.007499048915217684
Clostridium cadaveris	K00626	0.007475374682360011
Clostridium aminophilim	K03406	0.007450253945228117
Clostridium aminophilim	K00681	0.007440409115044737
Fusobacterium necrophorum	K00432	0.007438332749765602
Agathobacter ruminis	K00975	0.0074361961745789025
Prevotella ruminicola	K04079	0.007432046083265406
Fusobacterium necrophorum	K08483	0.007424557622982991
Agathobacter ruminis	K03798	0.007326103051086415
Megasphera elasdenii	K05808	0.0073025511709374925
Megasphera elasdenii	K02931	0.0072989562765462595
Megasphera elasdenii	K02867	0.007269765037810152
Prevotella ruminicola	K11621	0.007233695081694222
Clostridium aminophilim	K03593	0.0071939258565193245
Bacteroides cellulosyliticus	K03046	0.007181039000219769
Bacteroides cellulosyliticus	K01689	0.007163363360185287
Fusobacterium necrophorum	K00873	0.007157025387290881
Bacteroides cellulosyliticus	K06178	0.007135136430446071
Mix cultures	K21449	0.00711833049970799
Bacteroides cellulosyliticus	K00850	0.0070779504204372965
Agathobacter ruminis	K03522	0.007076950181411847
Megasphera elasdenii	K07496	0.0070581411590639855
Clostridium aminophilim	K21636	0.007016850660088391
Clostridium aminophilim	K03040	0.007007080005074869
Megasphera elasdenii	K00939	0.007001612628576528
Bacteroides uniformis	K00831	0.0069896200725181904
Agathobacter ruminis	K10548	0.006953833650032218
Acidaminococcus fermentans	K12942	0.006951880166192333
Mix cultures	K01610	0.006941236125794331
Mix cultures	K00248	0.0069210283489575305
Clostridium aminophilim	K02004	0.006915929967839148
Fusobacterium necrophorum	K03070	0.006871114626048084
Megasphera elasdenii	K18475	0.006863506299257664
Fusobacterium necrophorum	K12950	0.006858667496933172
Bacteroides uniformis	K00927	0.006844540080808379
Bacteroides uniformis	K01835	0.006843256573527717
Butyrivibrio proteoclasticus	K03046	0.006824520223285533
Prevotella ruminicola	K04771	0.006821386694988959
Clostridium cadaveris	K11751	0.0068141339937667685
Megasphera elasdenii	K03043	0.006812261566441729
Pseudobutyrivibrio sp	K21471	0.006809594471704986
Agathobacter ruminis	K02397	0.006793070301470683
Agathobacter ruminis	K21636	0.006785471195610787
Megasphera elasdenii	K03310	0.006718724942123151
Fusobacterium necrophorum	K01255	0.006710100662797493
Megasphera elasdenii	K01810	0.006665821726607023
Megasphera elasdenii	K02992	0.006660289854322912
Megasphera elasdenii	K02864	0.006656761826015198
Clostridium cadaveris	K02031	0.0066333125164830245
Agathobacter ruminis	K00820	0.006613983973308856
Clostridium cadaveris	K02118	0.006597477957204532
Prevotella ruminicola	K06215	0.006595980085232322
Clostridium aminophilim	K09022	0.006588097208394025
Fusobacterium necrophorum	K01893	0.006567918527827624
Bacteroides uniformis	K07165	0.006563908260256402
Clostridium aminophilim	K07576	0.006528520971265688
Bacteroides cellulosyliticus	K02863	0.006513571658228378
Megasphera elasdenii	K07040	0.006511442146506624
Clostridium aminophilim	K01885	0.0064934746084638305
Megasphera elasdenii	K02357	0.006482139931115104
Bacteroides cellulosyliticus	K03695	0.006476434056402336
Acidaminococcus fermentans	K03040	0.006445744465796072
Ruminococcus flavefaciens	K03695	0.006432463243913111
Acidaminococcus fermentans	K19824	0.006370213983028269
Fusobacterium necrophorum	K02316	0.0063576380868970985
Bacteroides cellulosyliticus	K03340	0.00635623553143993
Bacteroides cellulosyliticus	K00033	0.006356130312040884
Bacteroides cellulosyliticus	K02112	0.00635276075052549
Ruminococcus flavefaciens	K02355	0.006348001293693374
Agathobacter ruminis	K03544	0.006346564248874539
Clostridium cadaveris	K21576	0.006346024982595502
Agathobacter ruminis	K18887	0.006327091954539993
Bacteroides cellulosyliticus	K02469	0.0063055536208564715
Agathobacter ruminis	K03046	0.006301951591049989
Megasphera elasdenii	K09157	0.006288800345232172
Bacteroides cellulosyliticus	K01893	0.0062756570977086645
Megasphera elasdenii	K00986	0.0062626462754910754
Clostridium cadaveris	K17103	0.00621736551728826
Butyrivibrio proteoclasticus	K05366	0.006165389998133016
Butyrivibrio proteoclasticus	K03704	0.006120979341808436
Clostridium cadaveris	K03040	0.006102202957509935
Bacteroides uniformis	K03737	0.006090626452110923
Clostridium cadaveris	K13993	0.006089723534729476
Megasphera elasdenii	K00128	0.006080295845878425
Megasphera elasdenii	K21636	0.006071814644279781
Megasphera elasdenii	K02986	0.0060652593042155485
Bacteroides cellulosyliticus	K03043	0.0060625934846353004
Clostridium cadaveris	K15987	0.006061408902310826
Bacteroides uniformis	K03654	0.006055973279335637
Mix cultures	K00134	0.006053368841501067
Bacteroides cellulosyliticus	K02111	0.006040386343805075
Ruminococcus flavefaciens	K00031	0.0060382306601972115
Bacteroides cellulosyliticus	K00239	0.005981991410142322
Bacteroides cellulosyliticus	K07263	0.0059473513256308045
Bacteroides uniformis	K01880	0.005940398396068048
Acidaminococcus fermentans	K03076	0.005928419680015101
Prevotella ruminicola	K21574	0.005923576664169929
Megasphera elasdenii	K22373	0.005899785842505891
Clostridium cadaveris	K03671	0.005898224643070124
Fusobacterium necrophorum	K00626	0.005869569057850393
Bacteroides cellulosyliticus	K00962	0.005816201397458108
Bacteroides uniformis	K19824	0.005765627968971079
Bacteroides uniformis	K00616	0.005752612549650531
Bacteroides uniformis	K00239	0.0057469241199126515
Bacteroides cellulosyliticus	K03654	0.0057426918116959425
Clostridium cadaveris	K01265	0.005702418306886134
Ruminococcus flavefaciens	K02004	0.005689085386683269
Clostridium cadaveris	K12574	0.005663431601804785
Acidaminococcus fermentans	K03531	0.005660796043406402
Ruminococcus flavefaciens	K00703	0.005648948925260997
Megasphera elasdenii	K03704	0.005642464814390006
Megasphera elasdenii	K05825	0.005625282778082631
Ruminococcus flavefaciens	K02669	0.0056159563075011375
Clostridium aminophilim	K02945	0.005609654528360937
Clostridium cadaveris	K04564	0.005561082312901288
Clostridium aminophilim	K07456	0.005541384428719859
Bacteroides cellulosyliticus	K02519	0.005528485601682415
Bacteroides cellulosyliticus	K03040	0.005525818326874131
Bacteroides uniformis	K03885	0.0055189569004049
Agathobacter ruminis	K18890	0.005516413586593413
Bacteroides cellulosyliticus	K02470	0.005515922661799072
Bacteroides cellulosyliticus	K01580	0.0055138511251101915
Acidaminococcus fermentans	K01752	0.005470564966182278
Ruminococcus flavefaciens	K07260	0.005465194222046534
Butyrivibrio proteoclasticus	K02355	0.005457900124403593
Megasphera elasdenii	K01803	0.0054387449658551
Fusobacterium necrophorum	K06933	0.005412712212965217
Clostridium aminophilim	K18346	0.005397464455532915
Clostridium aminophilim	K00432	0.005389576788094128
Clostridium cadaveris	K23675	0.005389401486367052
Fusobacterium necrophorum	K26113	0.005382705647405294
Bacteroides uniformis	K24119	0.005363869589846888
Bacteroides uniformis	K01966	0.005336548489341095
Clostridium aminophilim	K07030	0.0053307519421165175
Bacteroides cellulosyliticus	K00600	0.005272500180343778
Bacteroides uniformis	K00705	0.005268707192804857
Pseudobutyrivibrio sp	K03043	0.005257547690970402
Bacteroides uniformis	K01425	0.005250916852210356
Bacteroides cellulosyliticus	K03070	0.005237552682467001
Clostridium aminophilim	K02316	0.00521873674179147
Butyrivibrio proteoclasticus	K07192	0.005210312782929272
Bacteroides uniformis	K00850	0.005206942436474595
Butyrivibrio proteoclasticus	K02358	0.0051849441258946995
Ruminococcus flavefaciens	K01218	0.005184401075293571
Prevotella ruminicola	K00262	0.005180995629684439
Clostridium aminophilim	K06400	0.005166081468853374
Bacteroides cellulosyliticus	K00831	0.00516560718270175
Bacteroides cellulosyliticus	K06894	0.005141184575956826
Clostridium aminophilim	K03704	0.005129306717787576
Agathobacter ruminis	K04085	0.0051139725141325955
Pseudobutyrivibrio sp	K05349	0.005112642724541427
Agathobacter ruminis	K00626	0.0051102630535248385
Clostridium aminophilim	K20509	0.00509813969600119
Fusobacterium necrophorum	K00655	0.005095526345919964
Clostridium aminophilim	K06350	0.005088393285498748
Bacteroides cellulosyliticus	K01952	0.0050816698632333585
Mix cultures	K18122	0.005077901617064968
Butyrivibrio proteoclasticus	K03737	0.005060829987199889
Bacteroides cellulosyliticus	K02014	0.005043198700574913
Bacteroides uniformis	K05349	0.005041391753748373
Clostridium aminophilim	K02355	0.0050317926035448905
Bacteroides uniformis	K01847	0.005019945885796624
Bacteroides cellulosyliticus	K00262	0.005004543471393116
Fusobacterium necrophorum	K23775	0.004974457529388087
Clostridium cadaveris	K25232	0.004967894525759193
Fusobacterium necrophorum	K07006	0.004957416085504027
Clostridium cadaveris	K02443	0.004951289024471991
Clostridium cadaveris	K12257	0.004931508232325623
Prevotella ruminicola	K05349	0.004922859912040992
Clostridium cadaveris	K05847	0.0049189386892991675
Megasphera elasdenii	K02935	0.0049086601530996645
Clostridium aminophilim	K22210	0.004904597698018805
Butyrivibrio proteoclasticus	K03043	0.004857157093599593
Pseudobutyrivibrio sp	K03046	0.00484703471876623
Agathobacter ruminis	K03043	0.0048439060219104095
Clostridium cadaveris	K03303	0.004842836975631485
Bacteroides uniformis	K02355	0.004840396176807208
Mix cultures	K15771	0.004838503280238888
Megasphera elasdenii	K02874	0.004826805400858323
Fusobacterium necrophorum	K00773	0.004818995214992749
Mix cultures	K01007	0.004787054328013922
Agathobacter ruminis	K02389	0.004784529354297219
Acidaminococcus fermentans	K07084	0.004765536207157087
Clostridium aminophilim	K00626	0.0047349033701641905
Clostridium aminophilim	K01713	0.0047237877207085225
Clostridium cadaveris	K05845	0.004721766935101264
Bacteroides uniformis	K01961	0.004705036212311654
Prevotella ruminicola	K00265	0.004703978678817747
Clostridium cadaveris	K00384	0.004699610997962648
Fusobacterium necrophorum	K02355	0.004690116087845594
Acidaminococcus fermentans	K01267	0.004689806216180345
Ruminococcus flavefaciens	K02652	0.004688596117879029
Butyrivibrio proteoclasticus	K04041	0.004670065832388642
Prevotella ruminicola	K00895	0.00466917099146077
Ruminococcus flavefaciens	K01179	0.004661128090707995
Bacteroides uniformis	K06894	0.004658034627571181
Bacteroides cellulosyliticus	K00648	0.0046478692598559655
Butyrivibrio proteoclasticus	K08600	0.004630968741555411
Clostridium cadaveris	K09117	0.004628356121012915
Megasphera elasdenii	K03106	0.004623747974704711
Prevotella ruminicola	K00962	0.004622505178601855
Clostridium cadaveris	K26113	0.0046112048010449455
Acidaminococcus fermentans	K07736	0.004610518328810842
Megasphera elasdenii	K03294	0.004605647152987195
Bacteroides cellulosyliticus	K07175	0.004602839660016086
Prevotella ruminicola	K01610	0.0045975622249598514
Bacteroides cellulosyliticus	K01270	0.004596860107838478
Bacteroides uniformis	K09758	0.004581970037123587
Fusobacterium necrophorum	K07030	0.004581580670302232
Agathobacter ruminis	K01156	0.004581319003697133
Clostridium aminophilim	K02030	0.004579794061158333
Fusobacterium necrophorum	K02601	0.004526064808114679
Agathobacter ruminis	K21471	0.0044897651837955965
Bacteroides uniformis	K04771	0.004487114999441624
Mix cultures	K15772	0.004480678612592997
Bacteroides cellulosyliticus	K20509	0.004479720388052612
Acidaminococcus fermentans	K20509	0.004467221557739812
Clostridium aminophilim	K07496	0.004463118754096637
Fusobacterium necrophorum	K00074	0.004421042810062737
Fusobacterium necrophorum	K05366	0.0044163878657395295
Megasphera elasdenii	K12574	0.004414481205973394
Clostridium cadaveris	K07112	0.004414210604191465
Clostridium cadaveris	K21577	0.0044093205518528885
Fusobacterium necrophorum	K03152	0.004400800324972584
Agathobacter ruminis	K00248	0.00439622935304213
Fusobacterium necrophorum	K00763	0.004389544403709417
Clostridium aminophilim	K18682	0.004387560033043676
Agathobacter ruminis	K01610	0.004382715918272049
Fusobacterium necrophorum	K03763	0.004360466625648554
Agathobacter ruminis	K04069	0.004359358759759302
Clostridium aminophilim	K00262	0.004353294269338247
Mix cultures	K01624	0.004342377985727575
Butyrivibrio proteoclasticus	K03088	0.004338143729672252
Agathobacter ruminis	K00826	0.004334892656377757
Acidaminococcus fermentans	K03798	0.004334698229951533
Clostridium cadaveris	K01303	0.004334393631124569
Bacteroides uniformis	K21572	0.004334387349173048
Bacteroides cellulosyliticus	K06076	0.004323525147289512
Prevotella ruminicola	K03046	0.004315982856898782
Clostridium aminophilim	K03327	0.004314349628761585
Butyrivibrio proteoclasticus	K07335	0.004303926021936135
Bacteroides uniformis	K01077	0.004293170421099504
Prevotella ruminicola	K01624	0.004288330934930904
Prevotella ruminicola	K21575	0.0042849063900661215
Agathobacter ruminis	K03553	0.004281465866724791
Mix cultures	K10112	0.004280442496920998
Clostridium cadaveris	K18122	0.0042703888313098334
Bacteroides cellulosyliticus	K01870	0.004268494067524194
Clostridium aminophilim	K20903	0.004268391957170582
Agathobacter ruminis	K00700	0.004265960796972366
Bacteroides uniformis	K07322	0.004262869507724563
Agathobacter ruminis	K03324	0.004259542271145257
Fusobacterium necrophorum	K00016	0.004251652594754567
Mix cultures	K02407	0.0042475793425562295
Bacteroides uniformis	K06020	0.004240574922866299
Bacteroides cellulosyliticus	K01719	0.00423725177172394
Fusobacterium necrophorum	K03657	0.0042173517050703374
Clostridium aminophilim	K03086	0.004210257273861926
Agathobacter ruminis	K03737	0.004206454012179264
Bacteroides cellulosyliticus	K02986	0.004197807064445003
Bacteroides uniformis	K00764	0.004197716308335903
Clostridium cadaveris	K05808	0.0041920881871278706
Bacteroides uniformis	K01810	0.004182794824611251
Bacteroides cellulosyliticus	K01802	0.0041815256889151334
Acidaminococcus fermentans	K20903	0.004176438343210015
Prevotella ruminicola	K00134	0.004165541408361283
Clostridium cadaveris	K05020	0.004164236565819892
Bacteroides cellulosyliticus	K01966	0.004143119603789618
Mix cultures	K00948	0.004142147430010257
Bacteroides cellulosyliticus	K02004	0.004138218101320294
Butyrivibrio proteoclasticus	K25670	0.004135132447339361
Clostridium aminophilim	K02520	0.004127204266695288
Pseudobutyrivibrio sp	K16511	0.0041260165791440285
Butyrivibrio proteoclasticus	K03415	0.004125993941708326
Clostridium cadaveris	K01537	0.004104306671949715
Clostridium aminophilim	K03545	0.004101877351674428
Bacteroides uniformis	K01784	0.004097188786362427
Clostridium aminophilim	K02879	0.004092710832143448
Bacteroides cellulosyliticus	K02864	0.004084280115181921
Agathobacter ruminis	K03545	0.004082366885724161
Bacteroides cellulosyliticus	K02867	0.004080433681109046
Bacteroides cellulosyliticus	K11065	0.0040781915446180695
Bacteroides cellulosyliticus	K00351	0.0040669252706575995
Butyrivibrio proteoclasticus	K12257	0.004066180148064467
Megasphera elasdenii	K18682	0.004064698783658741
Prevotella ruminicola	K03321	0.004061663547462855
Megasphera elasdenii	K04656	0.0040521475545715
Bacteroides cellulosyliticus	K02601	0.004042935586479677
Mix cultures	K02112	0.004034564759600526
Pseudobutyrivibrio sp	K02355	0.004033539540267245
Fusobacterium necrophorum	K09022	0.004026383175421384
Clostridium aminophilim	K02931	0.004021675057757858
Agathobacter ruminis	K03415	0.004021046014767623
Bacteroides cellulosyliticus	K03545	0.004019631217033368
Bacteroides uniformis	K01270	0.004017334511167977
Clostridium cadaveris	K00939	0.004009930124021825
Pseudobutyrivibrio sp	K03327	0.004004221291307138
Clostridium aminophilim	K03698	0.003996301486587064
Ruminococcus flavefaciens	K01586	0.003995636588559913
Fusobacterium necrophorum	K01869	0.003988461166906997
